50001462@druemost@Noun@
50001463@drukneulykke@Noun@
11000707@afslapning@Noun@
11000706@afslag@Noun@
50001466@drømmebolig@Noun@
11000700@afskære@Verb@
11000703@afskærme@Verb@
11000702@afskæringsblomst@Noun@
11029870@laterna magica@Noun@
11000708@afslappe@Verb@
50005372@lektiehjælp@Noun@
50005373@lektielæsning@Noun@
53400068@audiologopæd@Noun@
50005371@leksikonartikel@Noun@
50005377@lerfad@Noun@
50001465@drømmebil@Noun@
11039658@pietisme@Noun@
11039655@piercing@Noun@
11039654@pier@Noun@
11039653@piedestal@Noun@
11039652@pie@Noun@
11039651@pidgin@Noun@
11045153@segne@Verb@
11045152@segmentere@Verb@
11045151@segment@Noun@
11045150@segl@Noun@
11037556@oplysningsseddel@Noun@
11037557@oplysningstid@Noun@
11037554@oplysningskort@Noun@
11037555@oplysningspligt@Noun@
11037558@oplysningstjeneste@Noun@
11045158@seismograf@Noun@
11021539@hukommelse@Noun@
11036514-8@tage næring til sig@Noun@
11021538@hukkert@Noun@
11027530@kontraktstyring@Noun@
11033428@middag@Noun@
11033429@middagsbord@Noun@
11018666@grisetæer@Noun@
11040813-4@prinsen på den hvide hest@Noun@
11049816@standpunkt@Noun@
11047858@slæbe@Verb@
11049814@stand-in@Noun@
11049815@standplads@Noun@
11049812@standfugl@Noun@
11049813@standhaftig@Adjective@
11049811@standerlampe@Noun@
11026642@knittelvers@Noun@
11049818@standse@Verb@
11049819@standsfælle@Noun@
12008363@øretermometer@Noun@
11023494-7@indrette sig på@Verb@
11023494-6@indrette sig@Verb@
11023494-4@indrette sig@Verb@
12003811@udformning@Noun@
40001097@bundgarnsfisker@Noun@
12008366@ørevarmer@Noun@
12003199@tyskerpige@Noun@
50006113@metalemne@Noun@
11047850@slyngelstue@Noun@
50006111@metaldetektor@Noun@
12008369@ørken@Noun@
11021534@huguenot@Noun@
12003192@tyroler@Noun@
11030404@ligemand@Noun@
12003193@tyrolerhat@Noun@
11019884@hang@Noun@
11040503@porter@Noun@
11040502@portemonnæ@Noun@
11030021@lederstilling@Noun@
11044687@sammenfatning@Noun@
11040507@portion@Noun@
11030026@ledetråd@Noun@
11040505@portier@Noun@
11030024@ledestjerne@Noun@
11030029@lediggang@Noun@
11030028@ledig@Adjective@
11044688@sammenfatte@Verb@
11044689@sammenfiltre@Verb@
50007564@præsidentpalads@Noun@
50007567@præstationsangst@Noun@
11021844@husvildebarak@Noun@
11017133@gambe@Noun@
11045489@selvtugt@Noun@
50007566@præsidentpost@Noun@
11045483@selvsving@Noun@
11017131@gamache@Noun@
11045487@selvtillid@Noun@
11019886@hangar@Noun@
11049108@spidsbukser@Noun@
11049109@spidse@Verb@
11044358@sabra@Noun@
11049100@spids@Adjective@
11049101@spidsand@Noun@
11049102@spidsartikel@Noun@
12001786@tophue@Noun@
11049104@spidsborger@Noun@
11049105@spidsborgerlig@Adjective@
11044354@sabotage@Noun@
11044355@sabotagegruppe@Noun@
12001789@topidræt@Noun@
11021658@hundestejle@Noun@
11019887@hangarskib@Noun@
11043049@ret@Noun@
40003962@seniorspiller@Noun@
11038899@paratyfus@Noun@
11038116@ottendedelsfinale@Noun@
53202158@solfaldstid@Noun@
53202156@soldateruniform@Noun@
53202157@soldetur@Noun@
53202152@snuptagsløsning@Noun@
30000045@bindestregsdansker@Noun@
11038893@parasol@Noun@
30000046@biobank@Noun@
11043041@resumé@Noun@
11044867@sandpapir@Noun@
11042909@replika@Noun@
11042908@replik@Noun@
11042901@repertoire@Noun@
11042903@repetition@Noun@
11042902@repetere@Verb@
11042904@repetitionstegn@Noun@
11026812-16@koge 'af@Verb@
11042906@repetitør@Noun@
11037552@oplysningsforbund@Noun@
53003515@pyjamasbukser@Noun@
11037550@oplysning@Noun@
11031048@ludderjournalistik@Noun@
11031049@ludderkarl@Noun@
11043362@rigssprog@Noun@
11031043@luciabrud@Noun@
11043360@rigsråd@Noun@
11043361@rigsråd@Noun@
11043366@rigtig@Adjective@
11043367@rigtighed@Noun@
11031044@luciaoptog@Noun@
11043365@rigsæble@Noun@
30000643@mindretalsbeskyttelse@Noun@
53200763@lygtestander@Noun@
30000641@miljøbeskrivelse@Noun@
30000647@personbeskatning@Noun@
30000645@naturbeskyttelse@Noun@
53200762@lygteskær@Noun@
30000649@rejsebeskrivelse@Noun@
30000648@projektbeskrivelse@Noun@
53200761@lummervarme@Noun@
51003412@astrofysiker@Noun@
11048473@socialinspektør@Noun@
11048472@socialindkomst@Noun@
11048471@socialhjælper@Noun@
11048470@socialhjælp@Noun@
11048477@socialisme@Noun@
11048475@socialisere@Verb@
11035965@nier@Noun@
11035964@niendedel@Noun@
11048479@socialistisk@Adjective@
11048478@socialist@Noun@
12002473@trommedans@Noun@
11026261-6@klemme 'inde@Verb@
temporary_178@Hedensted@Noun@
11047620@slangehoved@Noun@
11047627@slanke@Verb@
11048097@smæske@Verb@
11030522@limpind@Noun@
11047624@slangetunge@Noun@
temporary_171@Hasle@Noun@
temporary_170@Harndrup@Noun@
temporary_173@Hasselager@Noun@
temporary_172@Haslev@Noun@
temporary_175@Havndal@Noun@
temporary_174@Havdrup@Noun@
temporary_177@Hedehusene@Noun@
temporary_176@Havneby@Noun@
11033192@menneskealder@Noun@
11029318-36@køre 'ned@Verb@
11029318-34@køre ''med (på)@Verb@
11029318-35@køre 'ned@Verb@
11030523@limsten@Noun@
11042203@rastested@Noun@
11044209-9@det eustakiske rør@Noun@
11030520@limonade@Noun@
11021787@husleje@Noun@
11028988@kyse@Verb@
11012788@festfyrværkeri@Noun@
12002054@tranebær@Noun@
11047245@sky@Noun@
11047244@skvætte@Verb@
11030521@limousine@Noun@
